Date,Maximum Air Temperature,Minimum Air Temperature,Grass Minimum Temperature,~38 Quartile Humidity,Rainfall,Total rainfall since 1st January,Against an average of
2017-09-28,34.1,28.2,27.3,67.6,0.0,2406.3,2216.3
2017-09-27,33.0,27.7,27.1,76.9,0.0,2406.3,2212.4
2017-09-26,32.9,27.8,27.1,71.8,0.0,2406.3,2209.4
2017-09-25,31.9,27.7,27.0,79.8,0.5,2406.3,2198.9
2017-09-24,30.5,27.1,26.5,86.4,5.6,2405.8,2185.4
2017-09-23,31.4,26.7,26.2,83.8,33.4,2400.2,2177.6
2017-09-22,32.0,26.1,25.1,83.6,17.9,2366.8,2172.2
2017-09-21,32.0,27.9,26.8,75.7,0.0,2348.9,2165.7
2017-09-20,32.0,27.6,26.6,74.6,0.2,2348.9,2149.7
2017-09-19,32.2,27.6,26.2,72.1,0.0,2348.7,2140.7
2017-09-18,32.9,27.8,26.1,67.7,0.0,2348.7,2132.3
2017-09-17,32.6,28.5,26.8,68.6,0.0,2348.7,2129.7
2017-09-16,32.6,27.7,26.9,62.1,0.0,2348.7,2118.7
2017-09-15,33.2,27.8,26.6,74.5,0.0,2348.7,2095.8
2017-09-14,31.5,27.6,25.3,61.6,0.0,2348.7,2076.9
2017-09-13,34.0,28.3,26.6,64.2,0.0,2348.7,2055.1
2017-09-12,32.8,27.9,26.7,76.5,0.6,2348.7,2038.6
2017-09-11,32.4,27.6,26.7,69.8,0.0,2348.1,2031.2
2017-09-10,32.2,26.7,24.9,73.5,0.0,2348.1,2022.5
2017-09-09,32.0,26.0,24.9,78.6,25.8,2348.1,2010.5
2017-09-08,30.9,26.9,26.3,80.0,1.1,2322.3,1996.6
2017-09-07,30.7,27.5,26.7,83.1,1.8,2321.2,1986.9
2017-09-06,32.3,27.3,26.6,74.4,0.0,2319.4,1971.8
2017-09-05,30.7,25.9,25.7,86.8,6.4,2319.4,1958.7
2017-09-04,27.6,25.3,24.5,90.5,32.8,2313.0,1949.0
2017-09-03,29.9,25.6,25.1,83.5,23.8,2280.2,1940.1
2017-09-02,30.4,26.4,25.9,83.1,1.0,2256.4,1929.1
2017-09-01,31.7,26.1,24.7,77.8,6.5,2255.4,1918.8
2017-08-31,32.8,26.2,24.7,74.1,4.1,2248.9,1905.5
2017-08-30,31.6,27.0,25.9,74.1,0.4,2244.8,1894.2
2017-08-29,31.4,24.6,24.2,75.5,0.0,2244.4,1887.3
2017-08-28,26.3,24.5,24.1,101.8,98.3,2244.4,1878.0
2017-08-27,26.9,24.0,23.6,95.8,165.3,2146.1,1869.6
2017-08-26,34.3,26.2,25.7,65.3,6.3,1980.8,1857.7
2017-08-25,32.7,27.8,27.4,79.9,0.1,1974.5,1847.6
2017-08-24,31.5,27.3,26.0,88.0,0.0,1974.4,1836.6
2017-08-23,29.5,25.4,0.0,79.8,67.1,1974.4,1812.9
2017-08-22,36.6,28.0,27.8,61.7,2.0,1907.3,1800.0
2017-08-21,34.5,28.6,27.3,62.6,0.0,1905.3,1775.5
2017-08-20,33.4,28.5,27.2,67.8,0.0,1905.3,1761.7
2017-08-19,34.0,28.4,27.2,58.6,0.0,1905.3,1744.3
2017-08-18,34.3,28.1,26.8,69.7,0.0,1905.3,1727.8
2017-08-17,33.0,27.9,26.9,69.6,0.0,1905.3,1719.2
2017-08-16,31.2,28.2,27.2,69.5,0.0,1905.3,1707.4
2017-08-15,32.9,28.1,26.8,67.3,0.2,1905.3,1679.4
2017-08-14,32.5,28.8,27.1,72.2,0.0,1905.1,1665.1
2017-08-13,32.4,28.6,27.2,77.3,0.0,1905.1,1653.0
2017-08-12,32.5,29.0,27.7,72.3,0.0,1905.1,1640.1
2017-08-11,31.6,28.9,28.0,81.5,3.5,1905.1,1622.6
2017-08-10,31.4,27.6,26.2,85.9,11.1,1901.6,1603.7
2017-08-09,31.0,26.3,28.0,85.1,14.3,1890.5,1584.4
2017-08-08,32.8,28.4,27.6,75.4,1.9,1876.2,1575.3
2017-08-07,33.0,27.3,27.2,71.8,6.9,1874.3,1570.5
2017-08-06,32.9,28.5,27.9,75.0,0.0,1867.4,1562.4
2017-08-05,34.0,27.1,26.9,71.1,0.9,1867.4,1548.9
2017-08-04,29.3,25.9,24.8,88.7,19.3,1866.5,1535.5
2017-08-03,29.8,25.3,24.4,88.8,66.7,1847.2,1521.5
2017-08-02,31.0,27.3,26.0,75.6,14.8,1780.5,1498.0
2017-08-01,33.2,28.3,27.3,81.0,5.9,1765.7,1483.2
2017-07-31,32.4,29.8,28.5,76.6,0.0,1759.8,1473.3
2017-07-30,34.8,29.6,28.1,65.3,0.0,1759.8,1464.7
2017-07-29,33.8,28.8,27.7,71.9,0.0,1759.8,1456.5
2017-07-28,34.4,28.1,27.3,65.4,0.0,1759.8,1439.0
2017-07-27,30.6,28.0,27.3,82.5,0.0,1759.8,1424.8
2017-07-26,34.4,27.1,26.8,65.1,0.0,1759.8,1411.7
2017-07-25,33.1,27.7,27.0,71.8,0.0,1759.8,1405.4
2017-07-24,31.2,25.8,25.1,86.8,3.3,1759.8,1398.6
2017-07-23,28.8,25.6,25.1,82.8,46.5,1756.5,1390.6
2017-07-22,33.1,26.5,26.9,71.5,3.3,1710.0,1378.5
2017-07-21,32.2,27.6,26.8,76.1,0.2,1706.7,1347.0
2017-07-20,30.8,27.2,26.6,86.1,2.0,1706.5,1333.8
2017-07-19,30.8,24.5,27.3,85.8,12.6,1704.5,1327.3
2017-07-18,27.8,24.6,23.8,100.9,134.3,1691.9,1308.5
2017-07-17,28.8,24.4,23.8,92.8,184.6,1557.6,1288.4
2017-07-16,28.5,26.1,26.2,92.7,21.0,1373.0,1276.0
2017-07-15,32.1,27.0,26.2,84.4,8.8,1352.0,1261.9
2017-07-14,32.8,27.4,27.4,79.3,2.3,1343.2,1246.9
2017-07-13,33.5,28.2,27.4,76.7,0.0,1340.9,1238.9
2017-07-12,32.9,27.9,27.1,74.8,0.0,1340.9,1225.9
2017-07-11,32.7,27.6,26.9,72.9,0.0,1340.9,1206.7
2017-07-10,32.1,27.5,26.2,73.8,0.6,1340.9,1199.3
2017-07-09,32.3,27.1,26.7,75.4,1.2,1340.3,1191.9
2017-07-08,28.9,26.3,25.1,95.6,12.8,1339.1,1184.0
2017-07-07,29.8,26.0,25.1,86.7,35.8,1326.3,1176.7
2017-07-06,28.7,25.8,26.2,96.7,16.3,1290.5,1166.1
2017-07-05,31.0,26.5,26.1,86.6,27.5,1274.2,1152.1
2017-07-04,28.6,25.3,25.1,93.7,32.3,1246.7,1143.9
2017-07-03,30.7,26.7,27.0,86.3,8.4,1214.4,1130.8
